Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
3207,358,5,134,-15,4038,211,230,156,1304,1
2874,66,27,313,202,1222,234,174,53,765,5
3001,91,9,0,0,2737,235,226,122,636,1
3037,30,17,953,215,1319,213,202,120,2556,2
2777,0,12,60,-22,120,203,218,152,1325,2
2577,173,13,162,18,2714,228,246,148,2190,2
3259,6,2,335,25,170,216,234,155,934,2
3017,58,24,85,8,967,229,181,72,2257,1
2643,173,32,240,114,2242,220,235,121,942,3
3180,38,8,170,4,5066,220,222,137,2348,1
2607,19,13,319,25,1660,210,212,137,1897,6
2988,121,10,484,71,5435,237,232,125,2742,2
2923,31,8,108,-1,4560,218,222,140,4108,2
2843,56,9,573,220,618,226,221,129,741,2
2996,113,13,0,0,994,241,227,113,1617,2
3100,113,16,404,37,598,246,221,98,1384,2
2763,32,3,127,15,1719,219,232,150,1785,1
3171,267,5,541,63,5666,208,242,172,1253,2
2985,95,22,182,59,5504,249,203,72,1400,2
3149,297,20,192,72,4474,160,229,208,1224,1
2943,351,16,180,32,3072,190,212,158,1476,1
3238,211,20,85,7,2208,199,254,183,3818,1
3267,264,21,977,346,3437,162,244,218,2532,2
2290,339,38,153,93,1489,113,157,166,987,3
3317,304,24,108,49,5424,148,220,209,845,1
2781,352,19,67,17,1300,182,203,156,2508,2
3265,24,13,591,189,771,213,211,133,876,1
2926,150,17,201,43,5507,239,237,122,4024,2
3364,157,23,417,154,4002,238,236,114,2852,1
3333,116,19,67,18,4329,249,219,91,3861,1
2174,259,32,95,71,577,128,238,238,684,3
3186,49,9,420,-20,1875,224,220,130,2839,2
3403,7,16,616,113,2329,199,207,143,1510,1
2898,117,30,295,165,2029,254,197,47,543,5
3421,3,19,552,221,4280,190,199,143,3677,7
2552,180,20,90,13,1194,223,248,148,1902,3
2906,86,10,108,3,4759,235,223,119,1680,2
3388,72,10,162,-8,2232,231,221,122,3578,7
3360,312,17,849,197,4415,173,226,192,2648,1
2906,333,6,350,13,3208,205,232,165,3798,2
2989,200,30,882,215,4260,194,249,171,1376,2
2537,208,34,277,132,1359,175,247,185,969,3
3108,89,12,124,13,5194,238,220,111,2053,1
3370,230,12,67,1,4410,201,251,186,3560,7
3024,295,21,95,28,510,157,229,211,2277,1
2763,2,8,134,6,2900,209,225,154,5341,2
3007,22,8,30,2,1224,215,222,144,1481,1
2758,339,4,150,4,2542,211,234,161,1740,2
3312,17,15,644,108,1020,207,208,135,514,1
3144,94,17,95,28,1438,245,212,91,2467,1
3044,59,10,391,75,5385,228,220,125,966,2
3146,69,19,457,100,277,237,199,87,1423,2
3227,145,15,256,65,1515,240,236,122,2713,1
2704,56,26,67,27,2552,226,174,65,2262,2
2973,7,9,127,13,900,209,222,150,134,2
2926,51,9,134,10,4974,225,220,128,1897,2
3287,42,7,150,8,3638,222,224,137,2244,1
3107,338,5,30,0,3731,209,233,162,1120,1
3184,110,16,60,-25,2509,245,221,100,2557,1
2662,17,14,162,40,1968,208,210,137,2296,6
3167,177,22,192,76,3632,224,246,142,680,2
3464,164,14,845,115,3494,232,243,139,1130,7
2675,201,12,42,5,1273,215,251,168,3356,2
2657,53,20,67,18,876,227,193,91,1256,2
2880,45,15,285,51,1461,223,206,113,2140,2
3002,92,13,268,-4,2089,240,220,109,1072,2
2933,343,7,256,64,3132,205,229,162,2218,2
3009,132,11,85,15,2676,238,234,124,576,1
2633,47,11,216,16,1084,224,217,126,1442,2
3155,32,13,655,-12,4133,216,210,127,3824,1
3276,353,14,1144,259,2079,196,215,157,2052,7
3178,27,12,240,46,2197,215,214,134,2777,1
2944,125,14,192,27,5141,242,230,113,2523,2
3214,28,5,60,-2,3037,218,230,148,1579,1
2987,73,8,30,3,2694,230,225,128,1945,1
2118,317,11,60,4,1129,191,231,179,1302,4
3039,50,16,175,20,3236,225,205,109,1595,1
2982,111,7,330,17,5066,233,232,131,5618,1
3128,102,16,108,20,2263,245,218,98,2067,1
3089,346,6,255,22,2546,209,231,160,2347,1
3363,294,18,886,234,4001,166,233,205,2398,2
3177,2,17,60,17,4155,194,206,147,335,1
3192,270,7,323,-7,3073,202,243,180,85,2
3062,6,20,360,203,691,191,197,139,3022,2
3045,288,1,390,76,5434,216,238,159,874,2
2691,61,6,430,44,911,225,228,137,1992,2
3113,58,10,175,7,3704,228,218,123,3899,1
2736,130,11,108,-5,1621,238,234,125,1113,2
3185,52,11,134,13,4700,226,217,124,1350,1
3198,285,10,67,6,2308,192,240,188,2318,1
2724,116,8,30,-2,2639,235,232,129,5402,2
2972,242,8,534,59,5490,205,247,180,4123,2
3085,103,12,242,22,624,240,225,113,1539,1
2461,15,10,212,37,721,211,219,144,1253,3
3211,270,11,60,6,3137,190,244,193,1401,1
2951,82,17,162,10,1776,241,207,90,1082,2
2972,319,4,342,-9,3780,208,235,166,830,2
3015,83,11,127,8,1962,236,220,114,1361,2
3528,129,12,323,94,2754,240,233,121,2047,1
3367,18,15,323,90,5224,207,207,134,541,1
3419,346,28,323,126,2411,154,183,160,2503,1
3142,207,13,67,3,3650,212,251,173,4829,1
3078,101,14,175,16,3828,242,221,106,659,2
2744,183,14,60,10,2613,223,249,155,5464,2
2982,16,10,182,9,2589,211,219,143,234,1
3120,319,21,324,112,2648,161,215,192,2497,1
2800,8,7,658,70,2821,212,227,152,1670,2
2978,75,9,277,0,4618,232,223,123,4953,2
2328,129,26,256,131,757,251,214,73,1560,4
3320,321,12,589,75,3382,189,228,179,3495,7
2903,228,14,360,146,1572,198,252,189,1543,2
3231,84,10,510,126,1154,234,224,121,1913,1
2927,292,25,277,115,4765,143,226,219,362,2
2968,87,18,268,65,4453,243,208,88,4857,1
2897,53,11,300,16,3892,227,215,121,3660,2
3204,115,17,474,50,1194,247,221,95,2200,1
2606,92,7,30,2,1994,231,229,131,2718,6
2813,332,19,30,13,2220,172,212,178,1489,1
2926,169,12,192,10,3907,229,245,146,6070,1
3366,261,10,484,-9,3078,197,245,187,1889,1
3054,186,7,870,82,5854,222,246,158,3692,1
2635,7,18,270,57,1329,195,202,141,2784,2
2998,59,4,702,26,5546,223,231,143,6292,1
2975,18,11,170,29,4621,211,217,142,1092,2
3004,115,5,660,32,5620,229,235,140,6432,1
3116,17,10,234,51,5051,212,219,144,458,1
3042,320,11,85,9,4080,191,229,178,2337,2
2295,287,22,277,121,1269,152,232,218,841,6
3243,153,9,361,52,5716,231,241,141,3009,2
2198,274,36,240,114,1326,104,222,244,638,3
3575,54,19,1003,341,2393,227,195,93,1423,1
2778,37,12,485,78,2110,219,214,128,2275,2
2659,71,17,569,-51,2980,236,205,95,2737,1
3218,172,7,421,27,5913,225,243,152,3194,2
2654,38,6,108,12,134,220,227,143,716,2
2913,48,6,366,43,4308,222,227,140,5673,2
3212,120,26,242,99,1001,253,208,65,1871,2
2885,311,10,0,0,4200,192,233,181,573,1
3244,18,12,541,72,3236,211,215,139,2992,2
3161,180,26,95,30,2605,220,245,142,1209,1
2826,63,20,247,154,1282,233,194,83,825,5
3268,73,9,495,44,1236,231,223,124,2185,1
3211,9,16,319,68,2297,200,206,140,2665,1
2914,91,18,90,-15,560,245,208,86,2257,2
2617,338,3,330,65,1235,214,235,160,1315,2
2976,29,6,67,2,270,218,226,144,124,1
2968,240,17,474,62,5633,187,252,200,5044,2
3133,304,7,212,15,2329,201,237,175,1889,2
3132,41,5,566,57,1826,221,229,144,2643,1
3212,1,12,335,64,1041,203,217,152,2192,2
3306,47,8,180,16,3245,223,222,133,1907,1
3004,310,11,242,26,5086,190,233,183,6025,2
2908,330,14,285,-67,1187,187,222,175,541,2
2757,358,20,270,66,2522,184,198,148,2166,2
2632,342,2,180,-7,1026,214,235,159,760,5
3341,210,15,391,-8,1676,207,253,178,3923,1
2367,311,21,85,20,309,159,220,199,819,3
3041,201,13,540,174,5932,214,251,169,3992,2
3023,145,19,0,0,726,242,234,113,1415,2
2959,259,22,150,73,6161,161,246,220,4868,2
3161,80,13,618,74,331,237,217,109,1480,2
3221,40,8,379,18,1739,221,222,135,1296,1
2896,28,8,510,39,4140,217,223,141,5699,2
2961,74,7,120,12,1812,229,227,132,127,2
2775,75,5,309,-9,999,226,231,140,2580,1
3373,77,28,240,80,2255,242,177,47,1988,7
2572,35,4,201,-9,297,219,231,148,1312,2
2661,342,19,60,29,674,178,208,167,1950,2
3049,44,19,0,0,4963,221,195,101,242,1
2949,165,8,0,0,4165,228,243,148,2287,2
3013,108,9,201,51,2165,236,230,125,2960,2
2954,303,10,569,150,1604,193,236,182,1253,2
2652,9,7,108,0,764,212,225,151,1651,2
3022,314,15,192,56,180,180,228,187,811,1
3047,165,15,480,180,5989,232,244,138,4016,2
3315,7,14,474,103,2843,202,212,145,2251,7
2957,18,18,642,138,1413,202,198,128,2703,2
3015,13,15,210,35,1290,204,208,139,871,1
2911,306,8,268,44,3345,198,236,178,2962,2
3402,119,13,537,-62,2014,242,228,113,2866,1
2991,339,13,592,6,4417,191,221,168,3235,1
3038,38,13,470,30,1958,219,212,125,1599,2
3282,157,26,255,98,1846,238,232,106,342,7
2660,228,34,85,43,408,152,247,214,1466,2
3071,58,3,210,30,4027,222,233,147,2155,2
3065,102,6,30,-2,1253,230,233,137,3216,1
2989,337,7,256,22,1800,204,230,165,730,2
3271,335,23,743,195,485,162,202,176,2081,2
2850,174,6,175,17,3078,224,243,153,2099,2
3082,147,5,234,18,1406,227,239,147,1621,2
3026,70,23,190,-10,2480,238,190,0,2796,2
2791,228,37,162,105,2056,143,244,216,1052,2
3359,102,16,247,29,2646,245,217,95,2449,7
2648,123,38,95,45,1315,252,183,22,900,2
2965,58,9,134,29,4960,227,222,129,6158,2
3258,111,13,495,-26,1354,242,225,110,1981,1
2818,180,1,150,27,2634,219,239,157,2460,2
3166,197,16,516,-13,2052,214,252,168,1939,2
2948,217,22,180,86,618,192,254,191,1608,2
3150,151,15,190,34,1973,238,239,127,3226,1
3292,128,8,272,1,1624,234,235,132,3231,2
2718,61,11,150,27,1698,229,218,121,3508,2
3270,37,17,607,204,908,217,202,115,591,1
3150,300,9,379,65,1168,195,237,182,942,1
2987,156,10,108,-12,2201,232,242,141,3247,2
3022,354,9,42,1,2850,206,225,158,1075,2
3063,11,15,492,187,2070,203,207,139,2553,1
2820,265,24,30,13,1920,152,242,225,1253,2
3149,331,11,67,16,2400,195,227,171,853,1
3031,86,15,270,40,5557,240,215,101,4939,1
2957,26,15,365,37,5101,212,205,127,1909,2
2737,117,16,30,9,2513,246,224,102,6534,2
2495,139,26,331,120,324,248,222,86,1106,3
2529,137,30,323,-36,391,249,214,70,1159,3
3256,114,10,212,22,1637,238,230,122,2030,1
2908,347,12,162,26,3290,196,220,162,2627,2
3293,323,21,552,75,3777,163,214,188,1442,1
3213,45,2,433,32,5683,220,234,150,2621,1
2643,206,20,42,11,1892,203,254,179,1048,2
3134,329,6,738,74,1905,207,233,165,2638,1
3509,51,16,807,294,2342,226,205,108,1614,1
2842,83,13,42,7,1237,238,217,108,1722,2
3133,119,20,242,31,127,249,219,89,4336,2
2947,17,13,525,82,2781,208,212,139,1829,2
3185,35,22,684,267,2123,212,186,101,2347,1
3477,241,20,469,222,3151,178,252,208,649,1
3029,208,14,30,7,3231,210,252,175,1366,1
2709,21,9,60,0,1248,214,221,142,1794,1
3004,53,17,474,91,4590,227,203,104,3893,1
2959,342,9,283,23,4204,202,227,164,4934,2
2865,269,18,234,78,2255,170,244,211,1082,2
3142,100,4,1253,208,3031,227,234,142,1538,2
2996,321,15,541,22,1992,180,224,183,1150,1
3068,14,20,942,199,2621,196,193,129,1595,2
2887,208,8,30,1,1973,215,248,169,1530,5
2601,296,23,90,33,1273,149,226,214,808,6
2809,180,3,180,21,1087,220,241,156,1146,2
2971,77,22,216,77,5507,241,195,73,1302,2
2816,143,7,150,32,2989,231,239,141,2461,2
3352,339,7,42,3,2790,204,230,164,2255,7
3100,72,9,67,3,3668,231,223,125,201,1
3128,197,15,201,23,2099,215,251,167,569,2
3236,355,14,192,29,1205,197,215,155,2582,1
2870,13,17,170,32,446,201,203,136,466,2
2820,76,25,30,13,1771,241,185,59,1191,2
2832,308,21,228,59,2484,159,222,202,1316,2
3079,323,14,90,19,1350,184,225,180,2446,1
2594,38,19,170,51,1621,216,194,106,1383,2
2710,68,10,182,39,2640,231,220,121,808,2
2496,52,5,150,-8,870,223,228,141,4888,2
3118,54,21,446,153,4882,227,190,87,2488,1
3091,3,20,451,22,1399,188,197,143,3602,1
2719,208,9,67,-4,1756,213,249,171,4121,2
2703,135,4,446,25,1215,226,238,146,2821,2
3005,133,11,323,74,2455,237,235,127,1366,2
3012,151,2,218,34,484,222,239,152,1061,1
2901,249,25,228,81,2255,159,248,221,1894,2
2891,214,12,162,47,3987,209,251,177,3560,2
3102,156,9,242,-31,4755,231,241,142,3065,2
3159,220,7,150,22,706,212,247,171,2437,1
3279,117,1,454,53,5503,220,237,153,1509,1
2645,59,28,242,119,1008,228,168,55,1131,2
3153,143,14,0,0,3500,239,236,123,2584,1
3212,142,6,170,10,2497,229,239,143,1357,2
2641,4,22,417,46,1148,185,192,139,1655,2
3212,139,13,424,58,1265,239,236,124,2155,1
2678,354,4,361,83,1173,212,232,157,1235,2
3174,162,20,60,-5,2318,235,240,126,3309,1
2998,228,12,576,89,5941,202,251,185,3296,2
2289,291,22,108,-8,513,153,230,215,450,3
2768,77,5,277,1,1019,227,230,138,2492,1
2987,192,8,547,-33,1376,220,247,161,1549,2
2195,329,28,127,55,1454,144,195,185,792,3
2617,258,13,331,13,1773,187,247,198,690,3
2643,45,21,484,-84,1343,220,188,93,4044,2
2811,72,6,95,9,2239,227,228,136,2320,2
3193,321,21,474,126,1744,160,214,191,3229,1
2965,16,12,216,37,3005,209,214,141,981,2
3062,344,4,210,-1,1040,211,233,160,955,1
2856,1,10,30,4,1611,206,221,153,1195,5
2941,62,17,323,48,778,232,204,99,1926,2
3413,63,19,60,16,2442,233,197,89,3645,7
2797,76,15,443,47,1776,238,210,99,1777,2
2943,4,14,738,171,745,201,212,148,1199,1
3178,250,5,255,-1,4500,209,243,172,1124,1
2658,40,12,0,0,2122,221,213,125,2563,6
2236,270,30,382,188,424,128,233,236,828,3
3153,322,10,242,-8,4485,194,230,176,1236,1
2647,61,8,573,31,875,227,223,129,1080,3
3089,54,8,30,3,3664,225,223,131,277,1
3100,157,12,601,-48,5904,233,241,137,1492,1
3152,278,10,134,27,153,191,242,190,3019,2
3169,23,12,666,152,1777,212,214,136,2519,1
2672,4,11,30,1,1498,205,219,150,1513,1
3121,91,15,108,30,1240,242,216,100,2368,1
3293,163,11,330,73,1129,231,243,143,992,1
3361,16,23,180,86,3813,193,184,121,1789,1
3062,123,11,362,46,3585,239,232,122,4942,2
2978,144,12,134,16,4772,237,237,128,5705,2
3136,307,5,30,0,722,206,237,170,1112,1
3182,174,14,42,7,2998,227,246,148,5125,1
2777,38,12,180,2,335,220,214,127,854,2
2826,176,16,180,36,4385,227,247,147,5024,2
3240,37,10,242,27,6110,220,219,133,671,1
2557,23,16,390,25,433,208,203,128,2765,2
3123,149,20,488,76,5643,241,235,114,1500,2
3144,134,19,277,52,192,246,228,103,4038,2
3153,126,8,240,14,5117,234,235,132,2663,2
3318,207,15,228,50,3457,210,252,175,424,1
3327,84,24,342,37,3453,246,191,61,1710,7
2945,45,12,150,26,5448,223,214,123,3951,2
2937,357,9,42,1,2926,207,225,156,1263,1
3333,353,14,234,68,3167,196,215,157,2326,7
3118,232,24,120,24,2796,174,253,208,418,2
2473,2,20,285,45,799,187,197,143,513,6
3326,1,12,382,87,2971,202,216,151,2282,1
2867,53,10,437,35,630,226,218,126,1328,2
2974,14,8,95,15,2260,213,224,148,1383,1
3280,214,10,234,-2,1824,211,250,174,3963,1
3176,0,4,0,0,3717,213,232,156,1631,1
3114,336,20,376,110,2493,171,208,174,2458,1
3225,348,9,674,81,6162,203,225,161,1320,1
2899,155,21,60,20,1110,239,237,117,1762,2
3368,168,14,120,29,1676,230,245,143,3275,1
2685,43,19,234,84,870,220,194,102,1862,2
2016,341,16,42,9,95,185,215,168,685,3
2710,76,27,120,60,120,241,177,49,1060,5
3156,25,5,201,12,5874,218,229,148,883,1
3338,88,28,192,-20,4149,248,183,45,3656,7
2545,93,12,201,14,2634,239,222,111,2590,1
2945,105,17,210,48,3915,247,216,91,5198,2
2902,83,6,450,79,3032,229,230,135,2174,2
3214,225,5,659,30,1006,213,245,169,2040,2
2376,73,22,120,55,404,240,192,72,474,6
3198,19,9,330,3,966,214,222,144,1256,2
3240,281,12,285,95,532,185,241,195,2529,1
3036,102,10,785,-34,1383,237,227,120,1022,2
3070,92,20,234,52,4237,247,204,77,2640,2
3157,119,13,342,86,162,242,228,112,969,2
3114,37,25,212,76,3443,210,177,90,1565,1
3124,80,13,408,67,690,237,215,107,1423,2
3185,72,7,467,13,4708,228,227,133,1652,1
3042,99,26,85,29,2122,252,194,54,3490,1
2813,22,16,420,58,1527,208,204,129,630,2
3323,137,8,277,55,3154,232,237,137,594,1
3159,313,8,342,52,5477,198,234,175,571,1
3149,3,5,361,36,3919,213,230,155,3277,2
2969,294,20,335,49,4884,162,231,209,1867,2
3433,38,5,234,-15,1718,220,228,144,3494,1
3044,144,6,390,4,3348,229,239,143,859,2
3467,17,15,484,119,4127,207,208,135,3356,7
3175,4,19,331,32,600,192,201,143,1712,2
2887,98,15,323,-3,2014,243,218,100,1465,5
3245,42,13,90,0,674,222,211,122,2173,1
3148,186,25,108,21,2698,215,248,153,1168,1
3129,217,7,60,0,6499,212,247,171,2228,2
2936,8,14,443,54,3122,203,212,145,2068,2
2546,73,7,577,20,937,229,226,131,3837,2
2190,67,14,0,0,591,233,212,109,1209,4
2740,19,14,240,82,1082,208,209,135,2040,2
3299,188,12,218,75,1440,221,249,159,2525,1
2459,349,17,0,0,661,187,210,160,1226,6
2504,18,8,30,6,1503,214,223,145,1706,6
3046,90,13,120,5,1173,240,219,107,1365,1
2413,88,34,60,19,666,246,163,16,1144,3
3043,69,28,295,126,2341,236,173,50,2377,1
3292,140,14,150,25,1761,240,235,121,2953,1
3061,95,11,175,26,2098,238,223,114,1396,1
3370,19,11,361,15,1146,212,217,141,3810,1
2279,66,38,301,-10,607,225,136,7,541,3
3056,93,5,618,-14,1507,227,233,140,1195,2
2988,171,10,499,69,5611,227,245,150,3515,2
2864,286,14,837,187,2220,181,239,197,1693,5
3305,210,9,543,78,4084,213,249,171,2148,1
2787,120,8,268,16,2294,234,234,131,1826,2
2911,11,14,569,116,3027,204,211,142,1337,2
2922,76,27,108,-12,531,241,180,52,553,1
2534,142,11,42,5,350,237,237,129,5780,2
2899,325,15,85,22,3104,180,222,181,1736,1
3256,292,15,379,58,3101,176,236,199,1082,2
2798,282,24,150,77,1103,146,233,223,1599,2
3012,1,10,150,20,1718,206,222,153,1681,1
3091,25,32,443,218,451,185,154,86,1922,1
2634,98,13,30,5,2323,241,221,107,2544,6
2538,58,9,90,12,446,227,221,127,1025,3
3014,87,15,497,75,1463,241,215,100,2270,2
3043,15,11,335,17,404,211,218,143,594,2
3271,72,13,760,195,618,235,214,108,1176,1
3147,146,14,150,20,2081,239,237,124,3183,1
3096,101,4,30,0,2958,226,234,144,1235,1
2995,225,13,636,89,5906,202,252,185,3529,2
2988,67,5,0,0,5273,226,229,138,4847,1
3170,334,14,949,-32,1423,186,220,173,1131,1
3156,153,16,124,18,2117,238,239,125,2716,7
3370,270,17,331,78,2877,174,244,208,1159,1
2952,34,21,300,88,2402,212,190,105,2128,1
3233,56,7,283,35,700,225,226,135,1307,2
2950,112,23,95,24,1640,252,209,73,1510,2
2849,159,19,90,24,1074,236,240,126,1860,2
3034,39,10,108,-2,6530,221,218,131,2998,2
3000,4,9,201,16,3939,208,222,151,1660,2
3015,153,2,30,0,3049,222,239,153,1543,1
2464,80,16,90,21,741,239,210,97,878,3
3337,295,12,792,123,1114,187,237,190,2382,2
3020,11,7,95,6,3384,213,225,150,5387,2
2991,16,11,513,72,4965,211,217,142,5358,2
2972,56,14,108,5,592,228,210,112,470,1
3141,50,23,180,64,1578,223,183,81,2486,1
3211,250,6,268,12,242,206,245,176,1195,1
3282,181,35,218,123,1600,208,236,132,558,7
3246,114,6,150,-2,1316,230,234,138,2780,1
3061,13,13,426,25,1240,207,214,142,1919,1
2865,241,15,85,24,757,191,251,196,124,2
3336,113,22,569,56,882,252,211,75,5641,1
3057,264,14,283,12,3507,184,246,201,1589,1
2558,62,23,162,40,1900,233,185,72,636,6
2625,269,19,30,9,1150,167,243,214,842,2
2965,0,1,532,20,4272,217,236,156,5604,2
3455,149,18,210,48,4162,241,236,118,4239,7
3272,284,9,849,162,1541,195,241,185,2647,1
2968,173,11,382,6,6161,227,245,149,3162,2
2972,45,6,335,53,3671,222,227,140,5472,2
3002,45,10,85,11,2249,223,217,128,4183,1
2971,261,16,361,78,5246,179,247,206,1082,2
2866,349,13,283,45,2414,195,218,161,2695,2
2836,269,20,234,151,1974,164,243,216,1203,2
2836,58,17,240,53,1931,230,202,99,1998,5
3079,248,16,180,3,847,184,250,202,1537,2
3083,37,10,607,251,618,220,219,133,1057,2
3286,99,9,0,0,5854,235,228,125,510,1
2892,109,21,524,130,510,251,210,77,598,1
3193,40,14,658,134,1654,220,208,120,3221,1
3351,77,17,283,69,2135,239,206,92,2563,1
3074,41,4,335,30,3271,220,230,146,510,1
2969,105,11,365,91,1717,238,227,118,2865,2
3273,124,16,60,6,6009,245,227,105,553,1
2750,327,17,30,9,1663,176,218,181,2903,2
3219,180,9,497,64,698,224,246,155,430,1
2889,314,13,162,0,2804,185,230,185,361,1
2926,172,22,218,71,402,228,244,136,924,5
2994,146,14,319,54,323,239,237,124,1473,1
2981,354,9,390,55,5225,205,224,157,1782,1
2781,24,10,85,1,805,215,218,139,2970,2
2621,74,21,42,11,1552,240,195,76,218,2
2939,83,8,417,0,3569,232,226,127,5923,2
3146,45,6,616,20,3634,222,227,140,3619,1
3009,323,5,124,10,5249,207,235,166,2449,1
2083,53,34,212,118,255,216,147,38,124,3
2853,111,17,42,9,3237,247,220,96,2538,2
2729,69,30,150,54,175,236,168,42,1682,5
3451,35,19,543,102,2753,215,195,110,1256,7
2583,49,11,210,38,553,224,217,125,1084,2
2823,60,25,120,46,2029,230,180,68,1388,2
2358,330,19,30,2,470,170,213,180,731,6
2206,40,23,324,64,510,215,183,92,362,3
3060,184,12,792,1,182,222,248,157,1015,2
2917,57,19,150,18,573,230,197,94,124,2
3303,4,3,371,38,5766,215,233,155,560,1
3012,47,12,400,62,1235,224,214,123,2364,2
2723,57,15,499,123,1490,229,208,109,2313,2
3032,299,7,319,80,579,200,237,177,721,2
2649,183,16,30,4,1820,223,249,154,1077,1
2880,358,18,95,33,6013,190,205,150,4544,2
3034,217,7,175,16,3672,213,247,171,2620,2
2903,77,24,216,113,558,242,187,62,663,1
3336,30,24,424,80,5171,205,181,101,408,1
2816,328,27,295,66,1332,145,198,187,1262,2
2639,250,6,242,0,1040,208,244,174,859,3
3290,40,7,153,32,4273,221,224,138,738,1
3217,265,11,698,99,624,192,245,192,752,2
3072,41,18,242,-10,1343,219,197,106,466,1
2701,99,31,90,53,120,252,180,31,2377,5
2901,51,23,150,31,1717,224,184,81,2605,1
3073,92,24,240,-14,693,249,195,61,1783,2
2432,178,13,0,0,1187,225,247,152,1106,6
2964,82,2,534,51,4045,221,236,151,4621,2
3006,99,6,450,118,2460,230,232,136,1866,2
2599,145,13,30,5,1784,238,237,126,2868,6
2770,67,23,60,19,792,236,187,71,2052,2
2922,350,11,0,0,4882,200,221,160,2419,1
3130,314,34,534,287,1560,112,192,209,886,1
3041,29,7,30,4,3002,218,224,142,1328,2
2741,24,21,134,-51,127,204,190,115,391,1
2963,200,6,201,43,342,218,246,163,1380,2
2712,146,5,30,1,1189,227,239,146,2094,2
2940,108,22,560,144,1142,251,209,75,700,2
3000,344,10,120,24,4264,199,224,163,1207,1
3039,135,2,30,-1,990,222,238,151,1518,1
2968,45,7,150,8,1312,222,225,138,1991,2
2828,351,14,297,37,1790,195,216,159,1410,2
3104,74,11,95,16,5076,233,219,116,1506,1
3129,261,13,674,68,3340,188,247,197,1998,1
2627,340,20,30,10,1678,173,206,169,5052,2
2883,32,22,216,101,1595,209,186,104,1965,2
2965,37,10,270,46,4785,220,219,133,5984,2
3044,195,11,792,-84,6078,218,250,165,3140,2
3049,156,19,418,-58,510,238,238,122,1587,1
3100,163,6,30,-4,636,226,242,149,1883,1
2507,50,7,150,11,850,224,224,135,5382,5
2673,228,30,150,13,1495,163,251,211,1187,2
2908,89,9,323,51,3275,234,225,122,2689,2
2498,112,16,120,15,513,246,220,97,323,2
2727,184,16,277,138,2828,222,249,155,1325,3
2752,193,10,0,0,1492,219,249,163,1036,1
3257,84,6,240,6,793,229,229,133,2329,1
3104,32,11,0,0,4114,218,217,134,1947,1
3371,141,7,268,48,1710,230,238,141,3182,1
2968,20,23,268,49,2685,198,185,116,1332,2
3213,251,13,342,80,3877,191,249,195,1510,1
2845,92,8,443,13,2751,233,228,128,3660,1
3207,278,13,182,43,1747,183,242,198,2353,1
3150,331,10,124,3,598,197,228,170,1321,1
3322,327,11,663,194,1301,193,228,174,2223,2
3040,188,14,277,39,1507,221,250,159,553,1
3036,144,23,1020,151,3141,245,229,100,1565,2
2437,166,23,240,67,1200,232,240,126,1579,3
3088,68,4,170,13,2541,224,231,142,1907,1
3132,14,16,42,3,2483,203,204,135,2375,1
2877,13,22,180,70,849,194,191,127,2014,2
3287,45,3,300,64,3150,220,233,150,3032,2
2888,201,6,30,3,1651,218,245,163,1597,5
3155,97,11,430,17,400,238,224,116,1933,2
3160,16,7,323,26,895,214,226,148,2525,1
3671,13,17,1179,316,5135,202,204,136,3583,7
3007,39,23,309,79,2781,214,183,95,1445,2
3001,243,6,691,105,5852,207,245,176,5548,2
3189,30,20,366,127,1239,210,193,112,297,1
3268,214,3,994,137,2117,216,243,163,2282,1
2926,73,10,67,1,4032,232,221,121,5058,2
2924,319,25,424,191,3428,147,208,197,1343,2
2204,349,22,390,128,488,174,197,158,255,3
2250,320,43,95,7,1383,77,160,201,1057,3
3144,73,9,85,-1,2881,231,223,124,3593,1
2967,105,19,256,53,4569,248,213,86,1579,2
2905,89,20,277,123,1405,246,203,77,2078,2
3116,191,24,108,30,3221,211,250,159,1121,1
3198,183,14,95,20,979,223,249,155,2644,2
2744,48,6,218,11,2503,223,227,140,5606,2
3129,128,15,210,31,2002,244,229,110,2297,1
3098,64,21,360,-7,2271,234,193,82,1731,2
2939,74,9,30,-2,4339,231,223,125,2024,2
3112,315,41,511,269,1561,85,172,209,900,1
2430,85,16,190,72,671,242,210,94,1445,6
3067,9,6,30,3,3180,214,228,152,1126,2
3150,76,9,339,36,2888,231,224,126,2808,2
2766,60,14,210,98,1340,230,209,108,2096,2
1934,164,3,0,0,30,223,240,0,417,3
2999,172,11,270,20,1772,228,245,148,1300,2
2858,161,26,437,157,1832,235,235,113,2092,2
2310,353,26,382,210,1140,167,186,150,1237,3
3136,299,19,192,88,3173,164,229,204,2910,1
3243,15,7,350,148,5009,214,226,149,1800,1
2684,88,14,499,72,797,240,217,105,1484,2
2486,357,4,190,43,242,213,232,157,1782,3
2638,33,15,120,17,999,216,206,122,1725,2
3039,90,28,258,103,618,249,183,43,2821,1
3260,152,18,402,95,1590,239,238,121,1489,1
3208,23,15,313,22,1165,210,207,130,534,1
3032,28,8,258,38,4375,217,223,141,1054,2
2939,44,13,170,26,4518,222,211,121,5616,2
2798,119,13,277,112,3363,242,228,112,5940,2
